Company,Role,Location,Work Type,Visa Sponsored,Pay Range,Source,Date Applied,Status,Job URL,Resume Used,Cover Letter,Priority
Crossing Hurdles,Software Engineer (Fullstack) | Remote,Nigeria,Remote (No Visa),N,Not Listed,LinkedIn (Nigeria),,Found,https://ng.linkedin.com/jobs/view/software-engineer-fullstack-remote-at-crossing-hurdles-4386841982?position=2&pageNum=0&refId=uwFBZVCr7xh3h%2F3ETSln%2FA%3D%3D&trackingId=7tTx3kSvkJPJBESqR7S56g%3D%3D,,N,3
Canonical,Software Engineer - Python - Cloud - graduate level,Nigeria,Remote (No Visa),N,Not Listed,LinkedIn (Nigeria),,Found,https://ng.linkedin.com/jobs/view/software-engineer-python-cloud-graduate-level-at-canonical-4389949944?position=1&pageNum=0&refId=uwFBZVCr7xh3h%2F3ETSln%2FA%3D%3D&trackingId=JJcNZ28vESyfh%2FtvTXdVcg%3D%3D,,N,3
Canonical,Senior Software Engineer - Python/Golang - KubernetesHome Based - Americas; Home based - EMEA,Nigeria,On-site (No Visa),N,Not Listed,Canonical,,Found,https://job-boards.greenhouse.io/canonical/jobs/7774649,,N,1
Canonical,Senior Software Engineer - MAASHome Based - Americas; Home based - EMEA,Nigeria,On-site (No Visa),N,Not Listed,Canonical,,Found,https://job-boards.greenhouse.io/canonical/jobs/3003389,,N,1
Canonical,Golang System Software Engineer - Containers / VirtualisationHome Based - Americas; Home based - EMEA,Nigeria,On-site (No Visa),N,Not Listed,Canonical,,Found,https://job-boards.greenhouse.io/canonical/jobs/4960407,,N,1
Canonical,"Distributed Systems Testing Software Engineer, Python / GoHome based - Worldwide",Nigeria,On-site (No Visa),N,Not Listed,Canonical,,Found,https://job-boards.greenhouse.io/canonical/jobs/2969042,,N,1
Canonical,Staff Software Engineer for Identity Management (Go/Golang)Home Based - Americas; Home based - EMEA,Nigeria,On-site (No Visa),N,Not Listed,Canonical,,Found,https://job-boards.greenhouse.io/canonical/jobs/3880952,,N,1
Canonical,Software Engineer (Python/Linux/Packaging)Home Based - Americas; Home based - EMEA,Nigeria,On-site (No Visa),N,Not Listed,Canonical,,Found,https://job-boards.greenhouse.io/canonical/jobs/2413329,,N,1
Canonical,Software Engineer - Python - Container ImagesHome Based - Americas; Home Based - APAC; Home based - EMEA,Nigeria,On-site (No Visa),N,Not Listed,Canonical,,Found,https://job-boards.greenhouse.io/canonical/jobs/6222476,,N,1
Canonical,Software Engineer - Data Infrastructure - OpenSearch/ElasticSearchHome based - EMEA,Nigeria,On-site (No Visa),N,Not Listed,Canonical,,Found,https://job-boards.greenhouse.io/canonical/jobs/5002072,,N,1
Canonical,Software Engineer - Data Infrastructure - KafkaHome based - EMEA,Nigeria,On-site (No Visa),N,Not Listed,Canonical,,Found,https://job-boards.greenhouse.io/canonical/jobs/5218601,,N,1
Canonical,Software Engineer - Data InfrastructureHome based - EMEA,Nigeria,On-site (No Visa),N,Not Listed,Canonical,,Found,https://job-boards.greenhouse.io/canonical/jobs/3014391,,N,1
Canonical,Software Engineer - Cross-platform C++ - MultipassHome based - EMEA,Nigeria,On-site (No Visa),N,Not Listed,Canonical,,Found,https://job-boards.greenhouse.io/canonical/jobs/4348657,,N,1
Canonical,Senior Software Engineer - Python/MongoDBHome based - EMEA,Nigeria,On-site (No Visa),N,Not Listed,Canonical,,Found,https://job-boards.greenhouse.io/canonical/jobs/5937947,,N,1
Canonical,Senior Juju Software Engineer (Go)Home based - Worldwide,Nigeria,On-site (No Visa),N,Not Listed,Canonical,,Found,https://job-boards.greenhouse.io/canonical/jobs/5566674,,N,1
Canonical,"Python and Kubernetes Software Engineer - Data, Workflows, AI/ML & AnalyticsHome based - Worldwide",Nigeria,On-site (No Visa),N,Not Listed,Canonical,,Found,https://job-boards.greenhouse.io/canonical/jobs/5703396,,N,1
Canonical,Juju Software Engineer (Go)Home based - Worldwide,Nigeria,On-site (No Visa),N,Not Listed,Canonical,,Found,https://job-boards.greenhouse.io/canonical/jobs/6426388,,N,1
Canonical,"Go (Golang) Software Engineer, Developer Tooling and ContainersHome Based - APAC",Nigeria,On-site (No Visa),N,Not Listed,Canonical,,Found,https://job-boards.greenhouse.io/canonical/jobs/4857458,,N,1
Paystack,"Senior Full Stack Engineer, South AfricaCape Town, South Africa",Nigeria,On-site (No Visa),N,Not Listed,Paystack,,Found,https://job-boards.greenhouse.io/paystack/jobs/8222225002,,N,1
